scenario,fish,host,weight,group,D_env_host,I_env_host,D_comb_host,I_comb_host
ssp119_2100,Amphiprion_leucokranos,Heteractis_magnifica,0.14,generalist,0.6476925394777546,0.8962649727068138,0.739531195028166,0.950656015982836
ssp119_2100,Amphiprion_nigripes,Heteractis_magnifica,1,specialist,0.6490978921312738,0.8555872214176709,0.6183534003702758,0.8613128733215296
ssp119_2100,Amphiprion_ocellaris,Heteractis_magnifica,0.85,specialist,0.5132146047565987,0.8029062686456288,0.5668425701028303,0.8462993684720309
ssp119_2100,Amphiprion_percula,Heteractis_magnifica,0.81,specialist,0.5742005137127884,0.8738316403276953,0.5959737441343591,0.874748189702614
ssp119_2100,Amphiprion_tricinctus,Heteractis_magnifica,0.03,generalist,0.401923848879413,0.7201756648670206,0.5914529210639168,0.8796867713038266
ssp119_2100,Amphiprion_akindynos,Heteractis_crispa,0.15,generalist,0.40323475010275045,0.6868171160618001,0.33788420950128417,0.5912678148701237
ssp119_2100,Amphiprion_allardi,Heteractis_crispa,0.01,generalist,0.5605300872150175,0.8462128422340235,0.6606748015072641,0.8977666197144144
ssp119_2100,Amphiprion_fuscocaudatus,Heteractis_crispa,0.05,generalist,0.277178326748299,0.5438807311292395,0.39959501435396094,0.6840918261982181
ssp119_2100,Amphiprion_leucokranos,Heteractis_crispa,0.43,generalist,0.6565991268674736,0.9035627789642644,0.7088115608588444,0.9444032693197826
ssp119_2100,Amphiprion_melanopus,Heteractis_crispa,0.02,specialist,0.6396487196386806,0.8948139927115627,0.6512859516729357,0.9041391058341065
ssp119_2100,Amphiprion_sebae,Heteractis_crispa,0.11,generalist,0.7571750813006707,0.9445432756340527,0.7947985903190928,0.9618838687444528
ssp119_2100,Amphiprion_akindynos,Heteractis_aurora,0.01,generalist,0.41424452187976046,0.6852531243704264,0.3602817665107745,0.6188800698457825
ssp119_2100,Amphiprion_allardi,Heteractis_aurora,0.07,generalist,0.5833921026022275,0.8613815528909189,0.6580324156561699,0.9033273923367028
ssp119_2100,Amphiprion_fuscocaudatus,Heteractis_aurora,0.25,generalist,0.3449132036812148,0.6313990160430302,0.47691551422693235,0.7676391246943495
ssp119_2100,Amphiprion_latifasciatus,Heteractis_aurora,0.13,generalist,0.47545918624824945,0.7384053318251373,0.5660749436781565,0.8195956326032974
ssp119_2100,Amphiprion_polymnus,Heteractis_aurora,0.02,generalist,0.8424634193280264,0.9716120914050685,0.7603604873396828,0.9466437914022875
ssp119_2100,Amphiprion_sebae,Heteractis_aurora,0.11,generalist,0.7911093295941839,0.9638422678024571,0.8149746353304342,0.9701825975701431
ssp119_2100,Amphiprion_tricinctus,Heteractis_aurora,0.14,generalist,0.37668115872770036,0.7332292230958497,0.5646781462097195,0.8803948728884037
ssp119_2100,Amphiprion_sebae,Heteractis_malu,0.06,generalist,0.7898481203107963,0.9652710138462327,0.7451008795734017,0.9503241635990414
ssp119_2100,Amphiprion_tricinctus,Heteractis_malu,0.05,generalist,0.20022506691569453,0.5404012816996294,0.3681291036223976,0.7260367340042407
ssp119_2100,Amphiprion_akindynos,Stichodactyla_haddoni,0.01,generalist,0.5333231647032224,0.7979064547009908,0.4201454466962238,0.6871457859169068
ssp119_2100,Amphiprion_allardi,Stichodactyla_haddoni,0.14,generalist,0.5796502844212972,0.8564654864174512,0.5966641732785121,0.8625808526718759
ssp119_2100,Amphiprion_fuscocaudatus,Stichodactyla_haddoni,0.06,generalist,0.34956132443648047,0.6278208545179036,0.46934131216366504,0.748791978318875
ssp119_2100,Amphiprion_latifasciatus,Stichodactyla_haddoni,0.08,generalist,0.42546865828229385,0.7206973506177728,0.5044014812146773,0.7865684137265457
ssp119_2100,Amphiprion_polymnus,Stichodactyla_haddoni,0.88,generalist,0.6869958713352808,0.9107793832274539,0.6642093139075982,0.9081941628032186
ssp119_2100,Amphiprion_sebae,Stichodactyla_haddoni,0.6,generalist,0.7104362284324085,0.9337805934073975,0.7376274583620098,0.9381490045937664
ssp119_2100,Amphiprion_tricinctus,Stichodactyla_haddoni,0.29,generalist,0.2905575389224988,0.6519713327820648,0.4745268116688448,0.8242254977766683
ssp119_2100,Amphiprion_ocellaris,Stichodactyla_gigantea,0.15,specialist,0.6852705469135434,0.9134364212030838,0.6191321488265922,0.8876425950727005
ssp119_2100,Amphiprion_percula,Stichodactyla_gigantea,0.19,specialist,0.717378096598249,0.9375501885349353,0.6471445751735956,0.8899994197234847
ssp585_2050,Amphiprion_akindynos,Entacmaea_quadricolor,0.56,generalist,0.44587194200768976,0.7193149640429554,0.37760637237209793,0.6383687189973964
ssp585_2050,Amphiprion_allardi,Entacmaea_quadricolor,0.51,generalist,0.5868027401791518,0.8657248411374272,0.6641544552601585,0.9080373622554714
ssp585_2050,Amphiprion_chrysogaster,Entacmaea_quadricolor,0.08,generalist,0.566155577546039,0.8352237563100472,0.4384889085265893,0.7393665563752274
ssp585_2050,Amphiprion_ephippium,Entacmaea_quadricolor,1,specialist,0.6886548792432291,0.9214310454151954,0.7084573801003906,0.9369622064010964
ssp585_2050,Amphiprion_frenatus,Entacmaea_quadricolor,1,specialist,0.5249213845444372,0.8103952962236145,0.5168998822783346,0.8096281938225048
ssp585_2050,Amphiprion_fuscocaudatus,Entacmaea_quadricolor,0.15,generalist,0.3288021245306072,0.6127806927957692,0.4528666046315888,0.7467891648997156
ssp585_2050,Amphiprion_latifasciatus,Entacmaea_quadricolor,0.29,generalist,0.49045769317015697,0.7660686642912475,0.5921363023676576,0.8468525756676843
ssp585_2050,Amphiprion_melanopus,Entacmaea_quadricolor,0.98,specialist,0.7394108840662721,0.9433062445758102,0.7105751200443855,0.9313285547699063
ssp585_2050,Amphiprion_rubrocinctus,Entacmaea_quadricolor,1,specialist,0.399726687832317,0.7069685908222261,0.3787102595151899,0.6606726076454714
ssp585_2050,Amphiprion_sebae,Entacmaea_quadricolor,0.06,generalist,0.8209648827325796,0.9730975781749397,0.857659507569025,0.9816278027064228
ssp585_2050,Amphiprion_tricinctus,Entacmaea_quadricolor,0.22,generalist,0.3521088676737072,0.7060259454923088,0.5388341778462744,0.866996366665103
ssp585_2050,Amphiprion_akallopisos,Heteractis_magnifica,0.94,specialist,0.7642167702979107,0.9547877448647973,0.7575077207759089,0.9566179443956376
ssp585_2050,Amphiprion_akindynos,Heteractis_magnifica,0.02,generalist,0.3245378679488121,0.6078962085562128,0.2907319343942991,0.5400997737925112
ssp585_2050,Amphiprion_allardi,Heteractis_magnifica,0.11,generalist,0.5243946926258818,0.8207685233153189,0.6533255806151561,0.8907124609292044
ssp585_2050,Amphiprion_chrysogaster,Heteractis_magnifica,0.32,generalist,0.46255138857265643,0.7629445555579115,0.43093825418492104,0.7249730653818287
ssp585_2050,Amphiprion_latifasciatus,Heteractis_magnifica,0.08,generalist,0.5410598628792986,0.778497908813575,0.654371425482727,0.8613072728175073
ssp585_2050,Amphiprion_leucokranos,Heteractis_magnifica,0.14,generalist,0.6481400041945873,0.8965511683155907,0.7397115947717265,0.9505316577157252
ssp585_2050,Amphiprion_nigripes,Heteractis_magnifica,1,specialist,0.6538705791828407,0.8598129949465277,0.6215632185112585,0.8633586376464883
ssp585_2050,Amphiprion_ocellaris,Heteractis_magnifica,0.85,specialist,0.51457357246240365,0.8041201045832382,0.5713423625987413,0.8487660012438065
ssp585_2050,Amphiprion_percula,Heteractis_magnifica,0.81,specialist,0.570723817168147,0.8721019487591307,0.5927151612481725,0.8728111337664349
ssp585_2050,Amphiprion_tricinctus,Heteractis_magnifica,0.03,generalist,0.40357388203957967,0.7210895966239649,0.59222981483824,0.8797835099911917
ssp585_2050,Amphiprion_akindynos,Heteractis_crispa,0.15,generalist,0.40366422419235104,0.687270597508702,0.3397531783030574,0.5933244434745863
ssp585_2050,Amphiprion_allardi,Heteractis_crispa,0.01,generalist,0.5582689600381776,0.8446066876194798,0.6615399659666648,0.8977299001403464
ssp585_2050,Amphiprion_fuscocaudatus,Heteractis_crispa,0.05,generalist,0.2776066752879621,0.5459205822324035,0.40132626697389406,0.6871852524189866
ssp585_2050,Amphiprion_leucokranos,Heteractis_crispa,0.43,generalist,0.6566391392779909,0.9035064408821519,0.7088380713553168,0.9444854224258354
ssp585_2050,Amphiprion_melanopus,Heteractis_crispa,0.02,specialist,0.6390724534853225,0.894280404886956,0.6512570532878577,0.904380762991428
ssp585_2050,Amphiprion_sebae,Heteractis_crispa,0.11,generalist,0.7562465460178918,0.9442836012552965,0.7933315591359387,0.9615638392375275
ssp585_2050,Amphiprion_akindynos,Heteractis_aurora,0.01,generalist,0.4145421514025739,0.6850822494169932,0.3611454014188322,0.6212273584070968
ssp585_2050,Amphiprion_allardi,Heteractis_aurora,0.07,generalist,0.5865188392144083,0.8630677954546532,0.6598097808809301,0.9046713127428265
ssp585_2050,Amphiprion_fuscocaudatus,Heteractis_aurora,0.25,generalist,0.3447285808273952,0.6315780198670995,0.47381177691634313,0.7665021041731838
ssp585_2050,Amphiprion_latifasciatus,Heteractis_aurora,0.13,generalist,0.4731565648795074,0.7365329347253939,0.5668297215212681,0.8203597340167474
ssp585_2050,Amphiprion_polymnus,Heteractis_aurora,0.02,generalist,0.8425346675563807,0.9712529594073297,0.7603213888708131,0.9468129170654521
ssp585_2050,Amphiprion_sebae,Heteractis_aurora,0.11,generalist,0.7931883289314601,0.9646534088224582,0.8175151587323509,0.971136225347566
ssp585_2050,Amphiprion_tricinctus,Heteractis_aurora,0.14,generalist,0.3794290028335988,0.7353790205987539,0.5651790973745413,0.8808328013905267
ssp585_2050,Amphiprion_sebae,Heteractis_malu,0.06,generalist,0.790718148454898,0.9654018103196674,0.7439119671630665,0.9499523595043937
ssp585_2050,Amphiprion_tricinctus,Heteractis_malu,0.05,generalist,0.20234017456939046,0.543605964458671,0.36853128643966293,0.7265774138594405
ssp585_2050,Amphiprion_akindynos,Stichodactyla_haddoni,0.01,generalist,0.5357794804666949,0.7996200730342632,0.4238234705976599,0.6918528628344107
ssp585_2050,Amphiprion_allardi,Stichodactyla_haddoni,0.14,generalist,0.5857290892975853,0.8604694714009791,0.6008169152521043,0.8655407137081188
ssp585_2050,Amphiprion_fuscocaudatus,Stichodactyla_haddoni,0.06,generalist,0.35195012876044185,0.631106030743191,0.47099364697912116,0.7516922986242534
ssp585_2050,Amphiprion_latifasciatus,Stichodactyla_haddoni,0.08,generalist,0.4254495051491928,0.720977980544748,0.5045843994043605,0.7873920275786633
ssp585_2050,Amphiprion_polymnus,Stichodactyla_haddoni,0.88,generalist,0.6891202078993061,0.9117986798921082,0.6642527906466,0.9083706076439175
ssp585_2050,Amphiprion_sebae,Stichodactyla_haddoni,0.6,generalist,0.7102575788260554,0.9339495692765003,0.7365768021248996,0.9377990199970808
ssp585_2050,Amphiprion_tricinctus,Stichodactyla_haddoni,0.29,generalist,0.2912101363437223,0.6525866095730403,0.47392965966917355,0.823891681666326
ssp585_2050,Amphiprion_ocellaris,Stichodactyla_gigantea,0.15,specialist,0.6910401187208799,0.9166634599599098,0.6201144453820358,0.8881932791990534
ssp585_2050,Amphiprion_percula,Stichodactyla_gigantea,0.19,specialist,0.7189348520204758,0.9379564305849067,0.6447882405874844,0.8886126621002027
ssp585_2100,Amphiprion_akindynos,Entacmaea_quadricolor,0.56,generalist,0.45200491192314174,0.7282584446589573,0.37403604556082415,0.6383683447420376
ssp585_2100,Amphiprion_allardi,Entacmaea_quadricolor,0.51,generalist,0.5833251961802759,0.8628905143678061,0.6731281562724544,0.9106339604463548
ssp585_2100,Amphiprion_chrysogaster,Entacmaea_quadricolor,0.08,generalist,0.5684008235505265,0.8357051108321583,0.4491231912331197,0.7456909732793453
ssp585_2100,Amphiprion_ephippium,Entacmaea_quadricolor,1,specialist,0.6828257193042437,0.9203192732264126,0.7069328554825636,0.9371208046776627
ssp585_2100,Amphiprion_frenatus,Entacmaea_quadricolor,1,specialist,0.5471300742404054,0.8229019221659802,0.5336483011678412,0.8189880394919505
ssp585_2100,Amphiprion_fuscocaudatus,Entacmaea_quadricolor,0.15,generalist,0.3370718006280342,0.6225523508235704,0.4585964178651454,0.7519994138455908
ssp585_2100,Amphiprion_latifasciatus,Entacmaea_quadricolor,0.29,generalist,0.4918786279636421,0.764309062771021,0.5883970008690053,0.8440396512035915
ssp585_2100,Amphiprion_melanopus,Entacmaea_quadricolor,0.98,specialist,0.7352016211875696,0.9403711071315176,0.7052586164626009,0.9289519323496052
ssp585_2100,Amphiprion_rubrocinctus,Entacmaea_quadricolor,1,specialist,0.3872582846444619,0.6930382152404522,0.37495204143387295,0.6548839288897887
ssp585_2100,Amphiprion_sebae,Entacmaea_quadricolor,0.06,generalist,0.8197270085667874,0.9722881824304618,0.8603294403627768,0.9820636345576741
