species,group,model_type,scenario,thr,area_current_km2,area_future_km2,lon_current,lat_current,lon_future,lat_future,shift_km,niche_breadth_B2
Amphiprion_ocellaris,specialist,Combined,SSP1-1.9 2100,0.31795268625,3919688.0025056438,1727896.3690770264,110.949352,0.013957999763317108,112.55315181702957,0.3672179937723778,182.60799960759,0.6129331148052852
Amphiprion_ocellaris,specialist,Combined,SSP5-8.5 2050,0.31795268625,3919688.0025056438,1741760.8964686764,110.949352,0.013957999763317108,112.50226181530374,0.33470599432374626,176.31951809944752,0.6129331148052852
Amphiprion_ocellaris,specialist,Combined,SSP5-8.5 2100,0.31795268625,3919688.0025056438,1793998.5633921993,110.949352,0.013957999763317108,111.31296777497106,0.4782079918901072,65.57119895913127,0.6129331148052852
Amphiprion_percula,specialist,Combined,SSP1-1.9 2050,0.33171167875,2408025.9661656283,1168648.088158994,110.138322,-2.087940964590744,107.82450061617578,4.490208555877405,775.321169606821,0.45820955684975256
Amphiprion_percula,specialist,Combined,SSP1-1.9 2100,0.33171167875,2408025.9661656283,1159582.197517201,110.138322,-2.087940964590744,106.83832057592582,4.825063528229999,851.6413320076524,0.45820955684975256
Amphiprion_percula,specialist,Combined,SSP5-8.5 2050,0.33171167875,2408025.9661656283,1189876.9290457368,110.138322,-2.087940964590744,107.38266965375595,4.427423131451912,786.5202573085123,0.45820955684975256
Amphiprion_percula,specialist,Combined,SSP5-8.5 2100,0.33171167875,2408025.9661656283,1184745.9684651236,110.138322,-2.087940964590744,105.53393341166571,5.268762544905489,964.7462987009203,0.45820955684975256
Amphiprion_polymnus,generalist,Combined,SSP1-1.9 2050,0.27154969475,2754055.6506456323,1991028.9042216826,113.682471,-1.6142309726243542,108.57946068226927,0.26003899559001803,604.4305029123283,0.49376715029602664
Amphiprion_polymnus,generalist,Combined,SSP1-1.9 2100,0.27154969475,2754055.6506456323,1986086.140351794,113.682471,-1.6142309726243542,108.42821867714018,0.3285749944277214,622.8458416917136,0.49376715029602664
Amphiprion_polymnus,generalist,Combined,SSP5-8.5 2050,0.27154969475,2754055.6506456323,2002628.8123651533,113.682471,-1.6142309726243542,108.6947796861801,0.32861399442706,595.1390304563628,0.49376715029602664
Amphiprion_polymnus,generalist,Combined,SSP5-8.5 2100,0.27154969475,2754055.6506456323,2002074.7762779477,113.682471,-1.6142309726243542,108.02985966363059,0.7202409877854886,679.9768088305586,0.49376715029602664
Amphiprion_rubrocinctus,specialist,Combined,SSP1-1.9 2050,0.29452334925,652074.2384878526,394918.7172580786,115.09623982810643,-9.107275606728054,117.51162324120436,7.998752599579543,1920.8302340504529,0.12869041727464914
Amphiprion_rubrocinctus,specialist,Combined,SSP1-1.9 2100,0.29452334925,652074.2384878526,381549.45770136954,115.09623982810643,-9.107275606728054,117.32842397746239,8.15465370495279,1935.2989140515913,0.12869041727464914
Amphiprion_rubrocinctus,specialist,Combined,SSP5-8.5 2050,0.29452334925,652074.2384878526,387551.18501957797,115.09623982810643,-9.107275606728054,117.10355310171808,7.772654840683043,1890.0900983976906,0.12869041727464914
Amphiprion_rubrocinctus,specialist,Combined,SSP5-8.5 2100,0.29452334925,652074.2384878526,319350.0037719049,115.09623982810643,-9.107275606728054,115.22804457149265,5.092546412541814,1579.0157531345865,0.12869041727464914
Amphiprion_tricinctus,generalist,Combined,SSP1-1.9 2050,0.3602930542105263,948130.3594585098,345422.59690548934,111.18145920255985,-0.8459790614757714,114.64758218687736,-0.9351617161276603,385.49625237109836,0.213163503794498
Amphiprion_tricinctus,generalist,Combined,SSP1-1.9 2100,0.3602930542105263,948130.3594585098,350345.66955941095,111.18145920255985,-0.8459790614757714,114.38336604262837,-0.9115454237446169,356.06853836411375,0.213163503794498
Amphiprion_tricinctus,generalist,Combined,SSP5-8.5 2050,0.3602930542105263,948130.3594585098,344740.29707156855,111.18145920255985,-0.8459790614757714,114.5166148232601,-0.866675225356994,370.81809317584384,0.213163503794498
Amphiprion_tricinctus,generalist,Combined,SSP5-8.5 2100,0.3602930542105263,948130.3594585098,349011.9251860201,111.18145920255985,-0.8459790614757714,114.21153337966282,-0.773933184741325,336.9904169798178,0.213163503794498
