species,model_type,iter,fold,auc
Amphiprion_akindynos,HostOnly,13,1,0.949
Amphiprion_akindynos,HostOnly,14,2,0.939
Amphiprion_akindynos,HostOnly,15,3,0.792
Amphiprion_akindynos,HostOnly,16,1,0.936
Amphiprion_akindynos,HostOnly,17,2,0.951
Amphiprion_akindynos,HostOnly,18,3,0.744
Amphiprion_akindynos,HostOnly,19,1,0.947
Amphiprion_akindynos,HostOnly,20,2,0.944
Amphiprion_akindynos,HostOnly,21,3,0.843
Amphiprion_akindynos,HostOnly,22,1,0.945
Amphiprion_akindynos,HostOnly,23,2,0.942
Amphiprion_akindynos,HostOnly,24,3,0.813
Amphiprion_akindynos,HostOnly,25,1,0.922
Amphiprion_akindynos,HostOnly,26,2,0.942
Amphiprion_akindynos,HostOnly,27,3,0.804
Amphiprion_akindynos,HostOnly,28,1,0.932
Amphiprion_akindynos,HostOnly,29,2,0.95
Amphiprion_akindynos,HostOnly,30,3,0.846
Amphiprion_akindynos,HostOnly,31,1,0.944
Amphiprion_akindynos,HostOnly,32,2,0.94
Amphiprion_akindynos,HostOnly,33,3,0.858
Amphiprion_akindynos,HostOnly,34,1,0.937
Amphiprion_akindynos,HostOnly,35,2,0.949
Amphiprion_akindynos,HostOnly,36,3,0.845
Amphiprion_akindynos,HostOnly,37,1,0.946
Amphiprion_akindynos,HostOnly,38,2,0.944
Amphiprion_akindynos,HostOnly,39,3,0.792
Amphiprion_akindynos,HostOnly,40,1,0.941
Amphiprion_allardi,Combined,1,2,0.778
Amphiprion_allardi,Combined,2,4,0.95
Amphiprion_allardi,Combined,3,2,0.791
Amphiprion_allardi,Combined,4,4,0.955
Amphiprion_allardi,Combined,5,2,0.768
Amphiprion_allardi,Combined,6,4,0.984
Amphiprion_allardi,Combined,7,2,0.797
Amphiprion_allardi,Combined,8,4,0.986
Amphiprion_allardi,Combined,9,2,0.805
Amphiprion_allardi,Combined,10,4,0.984
Amphiprion_allardi,Combined,11,2,0.815
Amphiprion_allardi,Combined,12,4,0.995
Amphiprion_allardi,Combined,13,2,0.779
Amphiprion_allardi,Combined,14,4,0.986
Amphiprion_allardi,Combined,15,2,0.784
Amphiprion_allardi,Combined,16,4,0.995
Amphiprion_allardi,Combined,17,2,0.791
Amphiprion_allardi,Combined,18,4,0.993
Amphiprion_allardi,Combined,19,2,0.773
Amphiprion_allardi,Combined,20,4,0.978
Amphiprion_allardi,Combined,21,2,0.798
Amphiprion_allardi,Combined,22,4,0.993
Amphiprion_allardi,Combined,23,2,0.793
Amphiprion_allardi,Combined,24,4,0.996
Amphiprion_allardi,Combined,25,2,0.81
Amphiprion_allardi,Combined,26,4,0.99
Amphiprion_allardi,Combined,27,2,0.774
Amphiprion_allardi,Combined,28,4,0.991
Amphiprion_allardi,Combined,29,2,0.78
Amphiprion_allardi,Combined,30,4,0.996
Amphiprion_allardi,Combined,31,2,0.795
Amphiprion_allardi,Combined,32,4,0.993
Amphiprion_allardi,Combined,33,2,0.805
Amphiprion_allardi,Combined,34,4,0.962
Amphiprion_allardi,Combined,35,2,0.778
Amphiprion_allardi,Combined,36,4,0.995
Amphiprion_allardi,Combined,37,2,0.763
Amphiprion_allardi,Combined,38,4,0.993
Amphiprion_allardi,Combined,39,2,0.764
Amphiprion_allardi,Combined,40,4,0.99
Amphiprion_allardi,EnvOnly,1,2,0.721
Amphiprion_allardi,EnvOnly,2,4,0.913
Amphiprion_allardi,EnvOnly,3,2,0.694
Amphiprion_allardi,EnvOnly,4,4,0.915
Amphiprion_allardi,EnvOnly,5,2,0.714
Amphiprion_allardi,EnvOnly,6,4,0.992
Amphiprion_allardi,EnvOnly,7,2,0.728
Amphiprion_allardi,EnvOnly,8,4,0.988
Amphiprion_allardi,EnvOnly,9,2,0.752
Amphiprion_allardi,EnvOnly,10,4,0.983
Amphiprion_allardi,EnvOnly,11,2,0.716
Amphiprion_allardi,EnvOnly,12,4,0.994
Amphiprion_allardi,EnvOnly,13,2,0.71
Amphiprion_allardi,EnvOnly,14,4,0.992
Amphiprion_allardi,EnvOnly,15,2,0.724
Amphiprion_allardi,EnvOnly,16,4,0.994
Amphiprion_allardi,EnvOnly,17,2,0.719
Amphiprion_allardi,EnvOnly,18,4,0.995
Amphiprion_allardi,EnvOnly,19,2,0.715
Amphiprion_allardi,EnvOnly,20,4,0.98
Amphiprion_allardi,EnvOnly,21,2,0.698
Amphiprion_allardi,EnvOnly,22,4,0.987
Amphiprion_allardi,EnvOnly,23,2,0.706
Amphiprion_allardi,EnvOnly,24,4,0.995
Amphiprion_allardi,EnvOnly,25,2,0.71
Amphiprion_allardi,EnvOnly,26,4,0.982
Amphiprion_allardi,EnvOnly,27,2,0.703
Amphiprion_allardi,EnvOnly,28,4,0.987
Amphiprion_allardi,EnvOnly,29,2,0.725
Amphiprion_allardi,EnvOnly,30,4,0.983
Amphiprion_allardi,EnvOnly,31,2,0.71
Amphiprion_allardi,EnvOnly,32,4,0.991
Amphiprion_allardi,EnvOnly,33,2,0.729
Amphiprion_allardi,EnvOnly,34,4,0.959
Amphiprion_allardi,EnvOnly,35,2,0.691
Amphiprion_allardi,EnvOnly,36,4,0.992
Amphiprion_allardi,EnvOnly,37,2,0.706
Amphiprion_allardi,EnvOnly,38,4,0.959
Amphiprion_allardi,EnvOnly,39,2,0.67
Amphiprion_allardi,EnvOnly,40,4,0.99
Amphiprion_allardi,HostOnly,1,2,0.868
Amphiprion_allardi,HostOnly,2,4,0.965
Amphiprion_allardi,HostOnly,3,2,0.863
Amphiprion_allardi,HostOnly,4,4,0.96
Amphiprion_allardi,HostOnly,5,2,0.87
Amphiprion_allardi,HostOnly,6,4,0.958
Amphiprion_allardi,HostOnly,7,2,0.889
Amphiprion_allardi,HostOnly,8,4,0.96
Amphiprion_allardi,HostOnly,9,2,0.88
Amphiprion_allardi,HostOnly,10,4,0.959
Amphiprion_allardi,HostOnly,11,2,0.882
Amphiprion_allardi,HostOnly,12,4,0.961
Amphiprion_allardi,HostOnly,13,2,0.874
Amphiprion_allardi,HostOnly,14,4,0.962
Amphiprion_allardi,HostOnly,15,2,0.866
Amphiprion_allardi,HostOnly,16,4,0.969
Amphiprion_allardi,HostOnly,17,2,0.883
Amphiprion_allardi,HostOnly,18,4,0.962
Amphiprion_allardi,HostOnly,19,2,0.881
Amphiprion_allardi,HostOnly,20,4,0.964
Amphiprion_allardi,HostOnly,21,2,0.875
Amphiprion_allardi,HostOnly,22,4,0.964
Amphiprion_allardi,HostOnly,23,2,0.875
Amphiprion_allardi,HostOnly,24,4,0.961
Amphiprion_allardi,HostOnly,25,2,0.887
Amphiprion_allardi,HostOnly,26,4,0.962
Amphiprion_allardi,HostOnly,27,2,0.887
Amphiprion_allardi,HostOnly,28,4,0.964
Amphiprion_allardi,HostOnly,29,2,0.878
Amphiprion_allardi,HostOnly,30,4,0.962
Amphiprion_allardi,HostOnly,31,2,0.88
Amphiprion_allardi,HostOnly,32,4,0.964
Amphiprion_allardi,HostOnly,33,2,0.891
Amphiprion_allardi,HostOnly,34,4,0.968
Amphiprion_allardi,HostOnly,35,2,0.887
Amphiprion_allardi,HostOnly,36,4,0.962
Amphiprion_allardi,HostOnly,37,2,0.88
Amphiprion_allardi,HostOnly,38,4,0.963
Amphiprion_allardi,HostOnly,39,2,0.882
