decimalLongitude,decimalLatitude,eventDate,basisOfRecord,datasetName,occurrenceStatus,depth,source,species
115.620912,-8.307608,2024-11-01T19:27,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
153.399476,-27.493874,2024-11-18T06:26:55,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
120.827919,13.696679,2024-11-30T09:13,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.599437,-20.307367,2024-12-31T16:33:07,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.863583,4.601821,2024-12-01T15:10,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
115.887909,-8.737319,2024-12-27T09:14,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
114.149594,-22.239327,2023-01-23T20:40,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
129.884489,-4.50678,2023-01-07T12:27:44,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
120.891752,13.686358,2023-02-23T18:38,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
120.89141,13.686703,2023-02-17T18:55,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
120.891242,13.686359,2023-02-17T18:55,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
115.688506,-32.266525,2023-02-26,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
73.430979,3.902932,2023-03-04T11:32,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
150.740221,-9.733655,2023-03-14T15:30,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.64722,-20.307322,2023-04-05T16:27,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.62293,-20.298789,2023-04-07T17:34,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
124.11571000000001,11.336488,2023-04-27T17:09,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
123.273549,9.189653,2023-04-18T14:37,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.584349,-20.30704,2023-04-10T06:32,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
147.069009,-18.613078,2023-04-30T13:21:24,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
109.29217,12.190436,2023-05-13T12:00,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.643974,-20.305167,2023-05-20T17:00,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
114.368077,22.265825,2023-05-26T10:51,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
122.235925,-17.973569,2023-05-06T18:05,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.608956,-20.301337,2023-05-07T16:21:17,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
114.390813,22.387423,2023-06-10T11:07,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
167.40697,-21.10642,2023-06-29,HUMAN_OBSERVATION,NA,PRESENT,NA,GBIF,Heteractis_aurora
118.607889,-20.305056,2023-06-05T15:57,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.609428,-20.305276,2023-07-04T16:26,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
123.276182,9.197703,2023-07-29T12:14,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
122.208053,-18.009,2023-07-01T16:41:20,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
126.601906,33.23096,2023-07-16T22:22,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
132.754938,32.682209,2023-07-15,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
73.42,5.765,2023-07-23T09:49,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
