scientificName,decimalLongitude,decimalLatitude,date_year,month,day,eventDate,dataset_id,bathymetry,occurrenceStatus,sst,source
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",139.5,34.099998,NA,NA,NA,NA,adb92d68-aaff-47ba-b197-d3d26f72f728,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",109.400002,12.82,NA,NA,NA,NA,adb92d68-aaff-47ba-b197-d3d26f72f728,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",119.300003,-5.5,NA,NA,NA,NA,adb92d68-aaff-47ba-b197-d3d26f72f728,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",119.300003,-5.5,NA,NA,NA,NA,adb92d68-aaff-47ba-b197-d3d26f72f728,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",121.133333,-6.483333,NA,NA,NA,NA,4c7c21a8-68d3-49c5-b090-6b26259a291b,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",121.133333,-6.483333,NA,NA,NA,NA,4c7c21a8-68d3-49c5-b090-6b26259a291b,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",120.441667,-6.466667,NA,NA,NA,NA,4c7c21a8-68d3-49c5-b090-6b26259a291b,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",120.43,-6.45,NA,NA,NA,NA,4c7c21a8-68d3-49c5-b090-6b26259a291b,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",125.266667,1.516667,NA,NA,NA,NA,4c7c21a8-68d3-49c5-b090-6b26259a291b,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",123.758833,9.886667,NA,NA,NA,NA,4c7c21a8-68d3-49c5-b090-6b26259a291b,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",119.283333,-5.1,NA,NA,NA,NA,4c7c21a8-68d3-49c5-b090-6b26259a291b,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",119.333333,-5.116667,NA,NA,NA,NA,4c7c21a8-68d3-49c5-b090-6b26259a291b,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",119.383333,-5.125,NA,NA,NA,NA,4c7c21a8-68d3-49c5-b090-6b26259a291b,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",125.233333,1.466667,NA,NA,NA,NA,4c7c21a8-68d3-49c5-b090-6b26259a291b,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",125.233333,1.466667,NA,NA,NA,NA,4c7c21a8-68d3-49c5-b090-6b26259a291b,NA,NA,NA,gbif.org
"Macrodactyla doreensis (Quoy & Gaimard, 1833)",125.216667,1.45,NA,NA,NA,NA,4c7c21a8-68d3-49c5-b090-6b26259a291b,NA,NA,NA,gbif.org
